Year,Type of energy,Fuel Type,Producer,ProducerM,MW,Percent
2561,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.062497396
2562,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.058902065
2563,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.058373708
2564,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.056414307
2565,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.055116664
2566,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.054654764
2567,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052969843
2568,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.055528819
2569,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052838297
2570,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052758384
2571,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.051540193
2572,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.049764448
2573,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.04795933
2574,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.045968558
2575,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.044646843
2576,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.042731999
2577,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.04192169
2578,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.040549308
2579,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.039249035
2580,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.038854567
2561,Diesel,Diesel,กฟผ.,EGAT,30,0.062497396
2562,Diesel,Diesel,กฟผ.,EGAT,30,0.058902065
2563,Diesel,Diesel,กฟผ.,EGAT,30,0.058373708
2564,Diesel,Diesel,กฟผ.,EGAT,30,0.056414307
2565,Diesel,Diesel,กฟผ.,EGAT,30,0.055116664
2566,Diesel,Diesel,กฟผ.,EGAT,30,0.054654764
2567,Diesel,Diesel,กฟผ.,EGAT,30,0.052969843
2568,Diesel,Diesel,กฟผ.,EGAT,30,0.055528819
2569,Diesel,Diesel,กฟผ.,EGAT,30,0.052838297
2570,Diesel,Diesel,กฟผ.,EGAT,30,0.052758384
2571,Diesel,Diesel,กฟผ.,EGAT,30,0.051540193
2572,Diesel,Diesel,กฟผ.,EGAT,30,0.049764448
2573,Diesel,Diesel,กฟผ.,EGAT,30,0.04795933
2574,Diesel,Diesel,กฟผ.,EGAT,30,0.045968558
2575,Diesel,Diesel,กฟผ.,EGAT,30,0.044646843
2576,Diesel,Diesel,กฟผ.,EGAT,30,0.042731999
2577,Diesel,Diesel,กฟผ.,EGAT,30,0.04192169
2578,Diesel,Diesel,กฟผ.,EGAT,30,0.040549308
2579,Diesel,Diesel,กฟผ.,EGAT,30,0.039249035
2580,Diesel,Diesel,กฟผ.,EGAT,30,0.038854567
2561,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.999875005
2562,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.827299144
2563,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.801938007
2564,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.70788672
2565,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.645599853
2566,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.623428676
2567,Heat Energy,Gas/Fuel Oil,IPP,IPP,1440,2.54255244
2568,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2569,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2570,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2571,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2572,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2573,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2574,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2575,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2576,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2577,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2578,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2579,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2580,Heat Energy,Gas/Fuel Oil,IPP,IPP,0,0
2561,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.399900004
2562,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.261839315
2563,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.241550406
2564,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.166309376
2565,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.116479882
2566,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.09874294
2567,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.034041952
2568,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.132306667
2569,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,1152,2.028990612
2570,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,576,1.012960976
2571,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2572,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2573,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2574,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2575,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2576,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2577,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2578,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2579,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2580,Heat Energy,Gas/Fuel Oil,กฟผ.,EGAT,0,0
2561,Heat Energy,Coal,IPP,IPP,2007,4.181075789
2562,Heat Energy,Coal,IPP,IPP,2007,3.940548182
2563,Heat Energy,Coal,IPP,IPP,2007,3.905201097
2564,Heat Energy,Coal,IPP,IPP,2007,3.774117116
2565,Heat Energy,Coal,IPP,IPP,2007,3.687304795
2566,Heat Energy,Coal,IPP,IPP,2007,3.656403717
2567,Heat Energy,Coal,IPP,IPP,2007,3.543682463
2568,Heat Energy,Coal,IPP,IPP,2007,3.714878022
2569,Heat Energy,Coal,IPP,IPP,2277,4.010426757
2570,Heat Energy,Coal,IPP,IPP,2547,4.479186817
2571,Heat Energy,Coal,IPP,IPP,2547,4.375762365
2572,Heat Energy,Coal,IPP,IPP,2547,4.225001659
2573,Heat Energy,Coal,IPP,IPP,2547,4.071747158
2574,Heat Energy,Coal,IPP,IPP,2547,3.902730532
2575,Heat Energy,Coal,IPP,IPP,1200,1.785873739
2576,Heat Energy,Coal,IPP,IPP,1200,1.709279966
2577,Heat Energy,Coal,IPP,IPP,1200,1.676867611
2578,Heat Energy,Coal,IPP,IPP,1200,1.621972318
2579,Heat Energy,Coal,IPP,IPP,1200,1.569961405
2580,Heat Energy,Coal,IPP,IPP,540,0.699382212
2561,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2562,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2563,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2564,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2565,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2566,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2567,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2568,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2569,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2570,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2571,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2572,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2573,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2574,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2575,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,0,0
2576,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,1000,1.424399972
2577,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,2000,2.794779352
2578,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,2000,2.703287197
2579,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,2000,2.616602342
2580,Heat Energy,Coal,โรงไฟฟ้าใหม่/ทดแทน,Renewable Energy,2000,2.59030449
2561,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.656222657
2562,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.618471688
2563,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.612923939
2564,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.59235022
2565,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.578724968
2566,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.573875023
2567,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.556183346
2568,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.583052604
2569,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.554802121
2570,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.553963034
2571,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.541172024
2572,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.522526707
2573,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.50357297
2574,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.482669854
2575,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.468791856
2576,Heat Energy,Fuel Oil,กฟผ.,EGAT,315,0.448685991
2577,Heat Energy,Fuel Oil,กฟผ.,EGAT,0,0
2578,Heat Energy,Fuel Oil,กฟผ.,EGAT,0,0
2579,Heat Energy,Fuel Oil,กฟผ.,EGAT,0,0
2580,Heat Energy,Fuel Oil,กฟผ.,EGAT,0,0
2561,Heat Energy,Lignite,กฟผ.,EGAT,2220,4.6248073
2562,Heat Energy,Lignite,กฟผ.,EGAT,2220,4.358752847
2563,Heat Energy,Lignite,กฟผ.,EGAT,2220,4.319654428
2564,Heat Energy,Lignite,กฟผ.,EGAT,2220,4.174658693
2565,Heat Energy,Lignite,กฟผ.,EGAT,1680,3.086533162
2566,Heat Energy,Lignite,กฟผ.,EGAT,1680,3.060666788
2567,Heat Energy,Lignite,กฟผ.,EGAT,1680,2.96631118
2568,Heat Energy,Lignite,กฟผ.,EGAT,600,1.110576389
2569,Heat Energy,Lignite,กฟผ.,EGAT,1200,2.113531888
2570,Heat Energy,Lignite,กฟผ.,EGAT,1200,2.110335367
2571,Heat Energy,Lignite,กฟผ.,EGAT,1200,2.06160771
2572,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.990577931
2573,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.91837322
2574,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.8387423
2575,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.785873739
2576,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.709279966
2577,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.676867611
2578,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.621972318
2579,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.569961405
2580,Heat Energy,Lignite,กฟผ.,EGAT,1200,1.554182694
2561,Heat Energy,Lignite,สปป. ลาว,IMPORT,1473,3.068622141
2562,Heat Energy,Lignite,สปป. ลาว,IMPORT,1473,2.892091416
2563,Heat Energy,Lignite,สปป. ลาว,IMPORT,1473,2.866149086
